train_MAE,epoch,step,train_loss
0.17256489396095276,0,27,
,1,49,0.03464941680431366
0.12681864202022552,1,55,
0.1242610514163971,2,83,
,3,99,0.03179791197180748
0.12226321548223495,3,111,
0.12061910331249237,4,139,
,5,149,0.030220694839954376
0.11944523453712463,5,167,
0.11826072633266449,6,195,
,7,199,0.029022974893450737
0.11772514134645462,7,223,
,8,249,0.023610908538103104
0.11423633247613907,8,251,
0.10976304113864899,9,279,
,10,299,0.019942263141274452
0.10680203139781952,10,307,
0.10426417738199234,11,335,
,12,349,0.01840684935450554
0.10142330825328827,12,363,
0.09700238704681396,13,391,
,14,399,0.015589847229421139
0.09028707444667816,14,419,
0.08578900992870331,15,447,
,16,449,0.014215697534382343
0.08305530250072479,16,475,
,17,499,0.012613555416464806
0.08143947273492813,17,503,
0.08020202070474625,18,531,
,19,549,0.01237563882023096
0.0792028158903122,19,559,
