train_loss,epoch,step,train_MAE
0.03281588479876518,0,49,
,0,54,0.14790265262126923
0.03205735981464386,1,99,
,1,109,0.12209399044513702
0.029906703159213066,2,149,
,2,164,0.11895643919706345
0.025237765163183212,3,199,
,3,219,0.11522781103849411
0.01979576237499714,4,249,
,4,274,0.10641731321811676
0.01890493743121624,5,299,
,5,329,0.09977992624044418
0.01623588427901268,6,349,
,6,384,0.09076318889856339
0.013806364499032497,7,399,
,7,439,0.08431468158960342
0.012690741568803787,8,449,
,8,494,0.08122821152210236
0.012135881930589676,9,499,
0.01253997441381216,9,549,
,9,549,0.07926920056343079
0.013236477971076965,10,599,
,10,604,0.07794404774904251
0.011879632249474525,11,649,
,11,659,0.07699307054281235
0.011968451552093029,12,699,
,12,714,0.07604403793811798
0.012092513963580132,13,749,
,13,769,0.07518921047449112
0.011994910426437855,14,799,
,14,824,0.07440595328807831
0.011340213008224964,15,849,
,15,879,0.07338597625494003
0.011309729889035225,16,899,
,16,934,0.07235821336507797
0.010737319476902485,17,949,
,17,989,0.07129383087158203
0.010907383635640144,18,999,
,18,1044,0.07029511034488678
0.010336636565625668,19,1049,
0.010609230026602745,19,1099,
,19,1099,0.0694410428404808
