train_loss,epoch,step,valid_loss,valid_MAE,train_MAE
0.03279458358883858,0,49,,,
,0,54,0.03451202064752579,0.12623906135559082,
,0,54,,,0.14684449136257172
0.031102795153856277,1,99,,,
,1,109,0.03270823508501053,0.1250128448009491,
,1,109,,,0.12297014147043228
0.029413728043437004,2,149,,,
,2,164,0.03029312752187252,0.1241048127412796,
,2,164,,,0.11908570677042007
0.026602014899253845,3,199,,,
,3,219,0.02386481501162052,0.11500923335552216,
,3,219,,,0.11606200784444809
0.021037064492702484,4,249,,,
,4,274,0.021402675658464432,0.10946227610111237,
,4,274,,,0.10859907418489456
0.019870981574058533,5,299,,,
,5,329,0.019767943769693375,0.10325662791728973,
,5,329,,,0.10342352092266083
0.01666300930082798,6,349,,,
,6,384,0.017201287671923637,0.08807520568370819,
,6,384,,,0.09528958797454834
0.0148239154368639,7,399,,,
,7,439,0.01597714051604271,0.07958243042230606,
,7,439,,,0.085577093064785
0.012749984860420227,8,449,,,
,8,494,0.01562239695340395,0.07804404199123383,
,8,494,,,0.08158142119646072
0.01269760262221098,9,499,,,
0.01195081602782011,9,549,,,
,9,549,0.015527958981692791,0.07673933357000351,
,9,549,,,0.0794493556022644
0.013082655146718025,10,599,,,
,10,604,0.01528836414217949,0.07673127949237823,
,10,604,,,0.07785918563604355
0.011779374442994595,11,649,,,
,11,659,0.015260995365679264,0.0757467970252037,
,11,659,,,0.07657531648874283
0.011927766725420952,12,699,,,
,12,714,0.015261415392160416,0.07596751302480698,
,12,714,,,0.07543914765119553
0.012162214145064354,13,749,,,
,13,769,0.01518836710602045,0.07543657720088959,
,13,769,,,0.07445017993450165
0.011764397844672203,14,799,,,
,14,824,0.015045443549752235,0.07502127438783646,
,14,824,,,0.0735383927822113
0.01223793625831604,15,849,,,
,15,879,0.014856076799333096,0.07408589869737625,
,15,879,,,0.07273010164499283
0.011949090287089348,16,899,,,
,16,934,0.014799383468925953,0.07407564669847488,
,16,934,,,0.07204005122184753
0.011167720891535282,17,949,,,
,17,989,0.014757027849555016,0.07361814379692078,
,17,989,,,0.0713178813457489
0.01184241846203804,18,999,,,
,18,1044,0.014619517140090466,0.07327795773744583,
,18,1044,,,0.07063570618629456
0.011352729983627796,19,1049,,,
0.011198118329048157,19,1099,,,
,19,1099,0.014408859424293041,0.07364347577095032,
,19,1099,,,0.06988830119371414
